,sentence,aspect_term,polarity,from,to
691,Our waiter (the one with the Spanish accent) was a bit pre-occupied with other things- hardly coming around to the table and nowhere to be seen most of the time.,waiter,negative,4,10
692,"The food was terrific and the service classy , attentive , without being overbearing .",food,positive,4,8
693,"The space is limited so be prepared to wait up to 45 minutes - 1 hour , but be richly rewarded when you savor the delicious indo-chinese food .",indo-chinese food,positive,124,142
694,The real problem I had with this place was the complete lack of service .,service,negative,64,71
695,"After waiting more than 15 minutes for our order to be taken and then having the waitress not know how to make certain drinks, our party of 7 was obviously dissatisified.",drinks,neutral,119,125
696,"The Food In addition to its potent, expertly made coffee drinks--beans come from upstate coffee roaster Irving Farm--71 stocks a full array of cakes, tarts, sandwiches and salads.",coffee drinks,neutral,50,63
697,"The food was not good at all, starting with the green salad, and the entrees (garlic chicken, chicken extreme) were chicken doused in oily sauce.",green salad,neutral,48,59
698,"I have eaten at Saul , many times , the food is always consistently , outrageously good .",food,positive,40,44
699,"While the server offered nothing, the host apologized, and said that he hoped that I would return again, perhaps for brunch.",server,negative,10,16
700,"There were many helpful people, not only one waiter - kept refilling the water, the wine, asking if everything was okay.",wine,neutral,84,88
701,This past Memorial day weekend was hot and I asked the waiter why was the air condition not working and he responded doens't know why.,air,neutral,74,77
702,"The Scene This vintage Cuban diner, with white acrylic tables, soft Spanish music humming pleasantly in the background and regulars casually hugging the counter, serves some of the cheapest, tastiest fare in the area.",Scene,neutral,4,9
703,"Also excellent is the okonomiyaki, a tangy cabbage, pork and shrimp frittata topped with bonito flakes and a dollop of mayonnaise.",cabbage,positive,43,50
704,"Apparently, the waitress informed us that they change the menu at 5 Ninth every few days, which kind of explains the hit or miss situation.",menu,neutral,58,62
705,The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.,food,positive,4,8
706,"The bartender was skilled, the owners were very friendly, but the wait for my burrito was longer than I would have liked.",owners,positive,31,37
707,"AND, the waitstaff likes to lick its fingers when cutting cakes/pies and serves hot and cold drinks by holding the glass or cup around the brim/top.",waitstaff,negative,9,18
708,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,waitress,negative,40,48
709,Delivery portions are bigger and 2 can easily share 1 entree.,Delivery portions,positive,0,17
710,They are served with a free appetizer and the portions are perfect for lunch .,served,neutral,9,15
711,"The waiters actually roll their eyes when you order something, as if you are imposing on them by ordering food.",waiters,negative,4,11
712,There was no price on the menu and the waitress recommended it.,waitress,positive,39,47
713,The drinks are just as expensive as the chain coffee houses.,drinks,negative,4,10
714,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !,manager,negative,50,57
715,"some sweaty so frazzled, when we returned both an app and entree, the manager didn't even come to speak to us.",manager,negative,70,77
716,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese .,wine,neutral,150,154
717,Today I placed a lunch order and the guy hung up on me while I was saying thank you!,lunch,neutral,17,22
718,"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",food,neutral,16,20
719,"This was followed by various wacky hijinks: overly sweet foie de gras, lack of extra ginger/soy sauce, minute portions even for sushi, appetizers arriving at different times.",portions,negative,110,118
720,"This place overall is a bad dining experience, its a tourist trap, save your money and go somewhere that you can actually taste the food.",dining,negative,28,34
721,Last night the dining room was crammed and seemingly only had one waiter which is ludicrous.,dining room,neutral,15,26
722,"Brunch is what Friend of a Farmer is known for, however dinner is equally impressive.",Brunch,positive,0,6
723,Our waitress hardly spoken English - and not because she spoke French - and she spilled wine all over me and didn't try to make any amends.,wine,neutral,88,92
724,We ordered a glass of wine and were finished eating and paying before the wine came.,glass of wine,neutral,13,26
725,Best Pastrami I ever had and great portion without being ridiculous .,Pastrami,positive,5,13
726,"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",food,positive,4,8
727,I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.,cuisine,positive,49,56
728,The crust was a crispy tan dream come true with those little blackened air bubbles and chewy center.,crust,positive,4,9
729,"The menu was small, but the food delicious.",menu,negative,4,8
730,"Wether you want a Regular Slice, their DELICIOUS marinara sicilian, or one of their specialty pizzas like Chicken Parm, Ravioli, or Taco pizza once you eat a Rosas Pizza you will never go anywhere else.",marinara sicilian,positive,49,66
731,"An unpretentious spot in Park Slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",spot,positive,17,21
732,Everything from the little tastes prepared by the kitchen to the main course to dessert was outstanding and the beauty of the restaurant makes it that much nicer.,dessert,positive,80,87
733,"If you're looking for nonstop attention, a 20 page wine list and a waiter who puts your napkin on your lap, this is not the place to go.",wine list,neutral,51,60
734,Diver scallops were divine along with chilled beets or high volocety pasta.,volocety pasta,positive,60,74
735,"i do agree with the comment about their waitstaff, they tend to make you feel like you have to rush through your meal.",meal,neutral,113,117
736,"Chicken with Mixed vegetables is an explosion of flavor, many great spicy dishes too.",Mixed vegetables,neutral,13,29
737,Desserts were visually inventive but lacking in flavor.,Desserts,positive,0,8
